C16A3.5	W01A8.4
C16A3.5	W10D5.2
C16A3.5	Y45G12B.1
C16A3.5	Y51H1A.3
C16A3.5	Y53G8AL.2
C16A3.5	Y54E10BL.5
C16A3.5	Y54F10AM.5
C16A3.5	Y56A3A.19
C16A3.5	Y57G11C.12
C16A3.5	Y63D3A.7
C16A3.5	Y94H6A.8
C16A3.5	ZK973.10
C25H3.9	C33A12.1
C25H3.9	C34B2.8
C25H3.9	D2030.4
C25H3.9	F22D6.4
C25H3.9	F53F4.10
C25H3.9	F59C6.5
C25H3.9	K04G7.4
C25H3.9	MTCE.11
C25H3.9	MTCE.35
C25H3.9	T10E9.7
C25H3.9	T20H4.5
C25H3.9	T26A5.3
C25H3.9	W01A8.4
C25H3.9	W10D5.2
C25H3.9	Y45G12B.1
C25H3.9	Y51H1A.3
C25H3.9	Y53G8AL.2
C25H3.9	Y54E10BL.5
C25H3.9	Y54F10AM.5
C25H3.9	Y56A3A.19
C25H3.9	Y57G11C.12
C25H3.9	Y63D3A.7
C25H3.9	Y94H6A.8
C25H3.9	ZK973.10
C33A12.1	C34B2.8
C33A12.1	D2030.4
C33A12.1	F22D6.4
C33A12.1	F53F4.10
C33A12.1	F59C6.5
C33A12.1	K04G7.4
C33A12.1	MTCE.11
C33A12.1	MTCE.35
C33A12.1	T10E9.7
C33A12.1	T20H4.5
C33A12.1	T26A5.3
C33A12.1	W01A8.4
C33A12.1	W10D5.2
C33A12.1	Y45G12B.1
C33A12.1	Y51H1A.3
C33A12.1	Y53G8AL.2
C33A12.1	Y54E10BL.5
C33A12.1	Y54F10AM.5
C33A12.1	Y56A3A.19
C33A12.1	Y57G11C.12
C33A12.1	Y63D3A.7
C33A12.1	Y94H6A.8
C33A12.1	ZK973.10
C34B2.8	D2030.4
C34B2.8	F22D6.4
C34B2.8	F53F4.10
C34B2.8	F59C6.5
C34B2.8	K04G7.4
C34B2.8	MTCE.11
C34B2.8	MTCE.35
C34B2.8	T10E9.7
C34B2.8	T20H4.5
C34B2.8	T26A5.3
C34B2.8	W01A8.4
C34B2.8	W10D5.2
C34B2.8	Y45G12B.1
C34B2.8	Y51H1A.3
C34B2.8	Y53G8AL.2
C34B2.8	Y54E10BL.5
C34B2.8	Y54F10AM.5
C34B2.8	Y56A3A.19
C34B2.8	Y57G11C.12
C34B2.8	Y63D3A.7
C34B2.8	Y94H6A.8
C34B2.8	ZK973.10
D2030.4	F22D6.4
D2030.4	F53F4.10
D2030.4	F59C6.5
D2030.4	K04G7.4
D2030.4	MTCE.11
D2030.4	MTCE.35
D2030.4	T10E9.7
D2030.4	T20H4.5
D2030.4	T26A5.3
D2030.4	W01A8.4
D2030.4	W10D5.2
D2030.4	Y45G12B.1
D2030.4	Y51H1A.3
D2030.4	Y53G8AL.2
D2030.4	Y54E10BL.5
D2030.4	Y54F10AM.5
D2030.4	Y56A3A.19
D2030.4	Y57G11C.12
D2030.4	Y63D3A.7
D2030.4	Y94H6A.8
D2030.4	ZK973.10
F22D6.4	F53F4.10
F22D6.4	F59C6.5
F22D6.4	K04G7.4
F22D6.4	MTCE.11
F22D6.4	MTCE.35
F22D6.4	T10E9.7
F22D6.4	T20H4.5
F22D6.4	T26A5.3
F22D6.4	W01A8.4
F22D6.4	W10D5.2
F22D6.4	Y45G12B.1
F22D6.4	Y51H1A.3
F22D6.4	Y53G8AL.2
F22D6.4	Y54E10BL.5
F22D6.4	Y54F10AM.5
F22D6.4	Y56A3A.19
F22D6.4	Y57G11C.12
F22D6.4	Y63D3A.7
F22D6.4	Y94H6A.8
F22D6.4	ZK973.10
F53F4.10	F59C6.5
F53F4.10	K04G7.4
F53F4.10	MTCE.11
F53F4.10	MTCE.35
F53F4.10	T10E9.7
F53F4.10	T20H4.5
F53F4.10	T26A5.3
F53F4.10	W01A8.4
F53F4.10	W10D5.2
F53F4.10	Y45G12B.1
F53F4.10	Y51H1A.3
F53F4.10	Y53G8AL.2
F53F4.10	Y54E10BL.5
F53F4.10	Y54F10AM.5
F53F4.10	Y56A3A.19
F53F4.10	Y57G11C.12
F53F4.10	Y63D3A.7
F53F4.10	Y94H6A.8
F53F4.10	ZK973.10
F59C6.5	K04G7.4
F59C6.5	MTCE.11
F59C6.5	MTCE.35
F59C6.5	T10E9.7
F59C6.5	T20H4.5
F59C6.5	T26A5.3
F59C6.5	W01A8.4
F59C6.5	W10D5.2
F59C6.5	Y45G12B.1
F59C6.5	Y51H1A.3
F59C6.5	Y53G8AL.2
F59C6.5	Y54E10BL.5
F59C6.5	Y54F10AM.5
F59C6.5	Y56A3A.19
F59C6.5	Y57G11C.12
F59C6.5	Y63D3A.7
F59C6.5	Y94H6A.8
F59C6.5	ZK973.10
K04G7.4	MTCE.11
K04G7.4	MTCE.35
K04G7.4	T10E9.7
K04G7.4	T20H4.5
K04G7.4	T26A5.3
K04G7.4	W01A8.4
K04G7.4	W10D5.2
K04G7.4	Y45G12B.1
K04G7.4	Y51H1A.3
K04G7.4	Y53G8AL.2
K04G7.4	Y54E10BL.5
K04G7.4	Y54F10AM.5
K04G7.4	Y56A3A.19
K04G7.4	Y57G11C.12
K04G7.4	Y63D3A.7
K04G7.4	Y94H6A.8
K04G7.4	ZK973.10
MTCE.11	MTCE.35
MTCE.11	T10E9.7
MTCE.11	T20H4.5
MTCE.11	T26A5.3
MTCE.11	W01A8.4
MTCE.11	W10D5.2
MTCE.11	Y45G12B.1
MTCE.11	Y51H1A.3
MTCE.11	Y53G8AL.2
MTCE.11	Y54E10BL.5
MTCE.11	Y54F10AM.5
MTCE.11	Y56A3A.19
MTCE.11	Y57G11C.12
MTCE.11	Y63D3A.7
MTCE.11	Y94H6A.8
MTCE.11	ZK973.10
MTCE.35	T10E9.7
MTCE.35	T20H4.5
MTCE.35	T26A5.3
MTCE.35	W01A8.4
MTCE.35	W10D5.2
MTCE.35	Y45G12B.1
MTCE.35	Y51H1A.3
MTCE.35	Y53G8AL.2
